epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,108126,1.14597,2.91266,0.97169,1.14299,0.51489,0.30435,0.33149,0.22567,0.43426,0.20697,0.21789,0.12484,1.3589,3.43602,1.23725,1.14518,8.01764e-05,8.01764e-05,8.01764e-05
100,109177,1.14337,2.90305,0.9676,1.14401,0.50619,0.30823,0.33347,0.22549,0.39748,0.22217,0.2222,0.12897,1.35158,3.39725,1.21386,1.13946,7.86782e-05,7.86782e-05,7.86782e-05
101,110235,1.14099,2.8981,0.96472,1.14166,0.50847,0.30454,0.33234,0.22111,0.44303,0.22332,0.22745,0.12576,1.35198,3.3974,1.22097,1.14168,7.718e-05,7.718e-05,7.718e-05
102,111300,1.14607,2.89944,0.96795,1.14412,0.48319,0.30577,0.33295,0.21906,0.36858,0.2203,0.22162,0.1265,1.34908,3.41878,1.21713,1.13587,7.56818e-05,7.56818e-05,7.56818e-05
103,112374,1.13773,2.88721,0.96314,1.14319,0.54638,0.30649,0.33234,0.2168,0.41745,0.22563,0.22441,0.12511,1.3572,3.46933,1.2355,1.14283,7.41836e-05,7.41836e-05,7.41836e-05
104,113427,1.14091,2.89845,0.96446,1.14265,0.5433,0.30563,0.33327,0.22175,0.44435,0.2148,0.22312,0.12726,1.34508,3.41427,1.22413,1.13906,7.26854e-05,7.26854e-05,7.26854e-05
105,114444,1.13282,2.88918,0.95605,1.13813,0.47625,0.30724,0.3254,0.2176,0.36397,0.22079,0.22349,0.12333,1.3617,3.48335,1.24494,1.14701,7.11872e-05,7.11872e-05,7.11872e-05
106,115497,1.1384,2.90354,0.96273,1.14073,0.47218,0.30776,0.33233,0.22311,0.39734,0.2215,0.22292,0.12422,1.35797,3.45145,1.23273,1.14091,6.9689e-05,6.9689e-05,6.9689e-05
107,116558,1.13497,2.88891,0.95639,1.13781,0.51645,0.31176,0.32997,0.21965,0.39845,0.22153,0.21719,0.12279,1.34148,3.41643,1.20489,1.1356,6.81908e-05,6.81908e-05,6.81908e-05
108,117615,1.13287,2.88626,0.95812,1.1401,0.48476,0.30851,0.32995,0.22198,0.41109,0.2236,0.2185,0.1235,1.34209,3.39756,1.21444,1.13646,6.66926e-05,6.66926e-05,6.66926e-05
